player_height_cm,player_weight_kg,position,team,age,games_played,minutes_per_game,points_per_game,assists_per_game,rebounds_per_game,steals_per_game,blocks_per_game,turnovers_per_game,label
213,109,SG,Team_23,22,58,30.1,4.9,11.2,2.7,0.98,0.92,4.0,Rotation
203,126,PF,Team_4,34,49,5.5,4.9,8.6,8.8,1.24,2.71,3.28,Bench
189,108,PF,Team_24,29,67,8.1,13.2,3.7,0.3,2.81,2.78,3.2,Rotation
217,125,PF,Team_9,22,7,26.8,19.9,2.5,1.5,2.54,0.2,2.71,Rotation
182,77,PG,Team_8,24,39,21.5,14.9,2.1,3.2,0.34,2.61,1.75,Rotation
195,87,PG,Team_1,34,45,35.0,26.9,0.3,8.0,0.53,1.56,2.87,Starter
213,110,SG,Team_8,20,77,36.3,18.8,5.3,11.5,2.76,2.71,1.3,Rotation
193,75,SF,Team_5,31,32,11.9,30.9,7.3,2.0,0.86,0.23,1.79,Rotation
197,96,SG,Team_1,26,57,12.3,20.7,7.1,8.7,0.77,0.18,4.87,Rotation
185,105,SF,Team_25,30,2,8.0,20.7,8.4,10.8,2.65,1.25,3.44,Rotation
185,84,C,Team_25,39,78,19.7,23.1,6.1,12.7,1.69,2.47,0.02,Rotation
198,106,PF,Team_7,24,26,14.4,21.1,6.4,3.6,1.62,0.21,2.17,Rotation
210,127,PF,Team_15,21,64,0.6,21.4,11.5,2.1,1.26,1.44,3.35,Rotation
214,74,PG,Team_7,33,56,15.0,15.7,6.8,9.3,2.0,2.01,3.92,Rotation
198,108,C,Team_27,26,34,2.3,3.2,10.5,5.5,1.1,1.42,3.28,Bench
177,78,C,Team_1,20,51,30.4,12.9,1.5,9.3,2.95,0.48,4.74,Rotation
196,76,SF,Team_9,34,50,35.3,26.9,9.9,3.7,1.22,0.95,1.54,Starter
176,110,C,Team_1,31,16,11.2,1.3,8.3,3.5,0.61,0.86,4.61,Bench
198,89,PG,Team_29,19,76,24.7,24.2,0.1,11.4,0.2,0.13,3.05,Rotation
218,79,SF,Team_12,29,51,3.4,34.3,2.5,4.2,1.79,0.74,0.33,Rotation
204,95,SG,Team_7,19,47,13.8,15.3,2.6,14.3,1.98,2.26,4.29,Rotation
212,73,SF,Team_25,26,57,21.9,7.4,4.8,11.1,1.2,1.71,3.3,Rotation
176,107,SG,Team_9,20,75,4.0,0.8,4.7,14.2,2.85,1.73,0.04,Bench
195,93,SF,Team_5,31,25,14.3,29.9,4.2,9.6,0.14,0.73,4.82,Rotation
207,83,PF,Team_12,39,26,36.3,5.2,5.2,11.7,1.6,0.99,1.75,Rotation
186,110,SG,Team_29,20,23,6.3,1.5,9.9,5.8,2.23,1.96,0.66,Bench
196,70,PG,Team_22,22,80,23.6,17.0,0.6,14.9,1.35,0.72,0.02,Rotation
218,86,SG,Team_2,20,10,31.7,13.4,10.2,4.0,1.93,2.72,3.68,Rotation
